,ECC Actual Boiling Point,ECC Predicted Boiling Point
0,365.19999245189126,355.97552218705414
1,511.1499821224808,516.8475891838967
2,313.15000418432055,308.9539349303394
3,608.1500108666718,565.3902287265657
4,375.15000336103134,390.47898220852016
5,361.2499991291016,376.7542249305546
6,285.14999513424925,286.9351956935227
7,370.2500072537362,386.64242477864025
8,587.1499858242273,613.5119104818999
9,531.7500059925019,519.752343955636
10,523.9499831302463,506.81919177263967
11,394.150004286468,407.6933444572985
12,525.1499866475165,530.7068850088119
13,497.6500155727565,493.99129729136826
14,507.3500074942409,502.3674445147812
15,571.1500119468569,553.7125749295949
16,559.1500132839382,565.301290897429
17,438.2499875070154,425.5034733299911
18,630.6500037959217,623.5671790927648
19,493.15000238299365,488.70395065113894
20,479.14999785795806,491.0882949891686
21,392.64999988988035,406.48235149562356
22,474.14998320266596,475.84100677907463
23,494.15000531405207,502.3421067260206
24,427.1499914820492,422.09652650579807
25,563.9499908432365,520.735296818465
26,418.15000161230563,376.65515563689166
27,410.7500164322555,400.3235893768072
28,431.65000467181204,427.81180430173873
29,577.1499930234253,583.4215703688562
30,391.14999549329275,407.36537708491085
31,544.1500058278441,540.0831446926295
32,563.1499884983897,556.19093195647
33,438.1499872139096,445.5639556404948
34,406.650004414916,412.9817498812079
35,560.1500162149965,557.6762959304451
36,687.1499868518114,779.458691148162
37,520.1500085020065,500.779122955352
38,519.1500055709481,501.34067991346114
39,410.15001467362043,418.9678572405874
40,501.14998932167885,499.4117951068282
41,496.1500111761689,495.35581388667225
42,557.6500088873505,553.5296609213948
43,429.6499988096952,442.25215330839154
44,527.1499925096333,536.0156628911197
45,386.65000055842097,392.7371487396955
46,563.1499884983897,550.9803653879463
47,471.65001238480204,481.8567235717177
48,533.1500100959837,493.6529246310889
49,472.6500153158605,620.5333622413873
50,555.1500015597045,576.069193944633
51,392.14999842435117,404.5286035273969
52,682.1500087063014,698.8305614313483
53,537.1499853104353,513.0593707054853
54,283.74999103076755,308.17277163304385
55,483.15000958219173,450.2307455147802
56,809.1499793431162,869.7946988993883
57,362.4500026463717,377.18854529812927
58,492.65000091746447,481.447887032032
59,540.1499941036104,555.6147710855305
60,529.1499983717501,548.8563723058999
61,469.1500050571561,468.80400185242297
62,412.1499840259552,418.044816930145
63,621.9999966971576,637.4713454398513
64,498.1500170382857,506.12083266109227
65,553.1499956975877,525.197923991382
66,540.1499941036104,536.8400902801752
67,633.1500111235678,636.3614115549624
68,626.5499917785824,662.3753979894518
69,354.749998332113,362.8798505656421
70,565.1499943605065,540.730499638617
71,469.1500050571561,476.3027459929883
72,793.150005465746,783.4556360507011
73,535.1500159581005,508.6067837226391
74,406.1500029493868,415.095921831876
75,427.1499914820492,435.58112243726845
76,494.65000677958125,495.26464896082877
77,548.1500175520778,560.1365075956285
78,512.1499850535392,506.76263812020414
79,490.14999358981845,498.1061322802305
80,458.65001079082487,469.24858146876096
81,314.1500071153789,319.8204143891483
82,519.6500070364773,517.717580780983
83,375.25000365413723,372.6665532195568
84,408.25000910460943,399.21770807772873
85,475.3499867199361,454.07533509671686
86,464.14999040186404,470.0722056426107
87,598.1500180658697,570.5249644777178
88,457.1500063942372,448.9368753477931
89,450.1499858768284,440.6152372290194
90,425.6499870854616,393.73550873056047
91,386.34999967910346,384.20988752827043
92,374.65000189550216,386.0908167361468
93,320.35000703305,341.158282700032
94,516.1499967777729,512.9858765141665
95,279.9499981476366,307.32360886663196
96,329.1499963165819,341.47423835411666
97,598.1500180658697,599.5161410915852
98,463.1499874708056,464.7360454237461
99,508.85001189082857,513.6706174769997
100,525.1499866475165,517.4866198995709
101,368.1500010985136,370.8416482722759
102,409.150011742562,391.3424385546148
103,452.14999173894523,440.1932571677863
104,329.94999866142865,369.23346539139743
105,300.6500040558725,318.46360135786233
106,473.1500167813897,469.15146544843907
107,408.1500088115036,406.49885391712183
108,466.1499962639809,448.44030580177895
109,553.649997163117,584.1053985871374
110,439.149990144968,423.4109151703119
111,521.150011433065,504.54981673836704
112,505.65000251144164,512.2442898206413
113,560.1500162149965,549.5771119138598
114,428.1499944131076,388.49962262816723
115,371.64999310232696,376.22757132411
116,449.6499844112992,490.82900251686567
117,532.1500071649252,500.4878114041686
118,453.1499946700036,439.48201010316603
119,275.350002919659,260.10567200191315
120,485.1500154443085,483.5217521832883
121,493.15000238299365,493.7967366626858
122,429.14999734416597,466.47942402765153
123,484.1500125132501,484.3504877266287
124,376.15000629208976,374.3730569435656
125,366.64999670192594,392.7606610393524
126,363.1500046981126,377.1040981721878
127,417.1499986812472,417.2435367429256
128,611.1499831500649,592.4084532268346
129,557.6500088873505,582.8375964045524
130,370.1500069606304,391.1327263663709
131,357.45000624597066,362.41024349369104
132,470.15000798821444,465.4381285330653
133,480.1500007890164,460.40028974354266
134,459.15001225635405,458.4810070095956
135,613.1499890121818,578.850180555135
136,519.6500070364773,531.7692101378739
137,547.6500160865486,585.2182532545924
138,477.64999346137046,506.21926303356884
139,380.14999976143235,406.2090027572214
140,525.1499866475165,529.499762084037
141,547.9500169658661,532.6470878478884
142,467.6500006605684,476.2105222834646
143,463.6499889363348,460.8997800721228
144,486.1499818655848,500.2476135478913
145,636.1499834069609,627.0219537314772
146,344.4500046519935,347.5854099719971
147,435.1500149305164,406.59045696035025
148,494.65000677958125,476.8496990382671
149,403.14999415621156,382.27076172776515
150,487.14998479664325,515.3936601322889
151,492.65000091746447,494.8650859057903
152,485.7500172029435,500.46674525991074
153,338.15000444121654,348.09410076566036
154,497.6500155727565,490.708848824054
155,375.35000394724307,385.3723954993486
156,785.1499820172787,825.9948625972868
157,470.3500085744261,483.0745438626408
158,462.64998600527645,478.0912141777574
159,496.1500111761689,497.08747285053136
160,389.64999109670515,392.073912038505
161,357.6500068321824,365.54550277456633
162,396.5500113210082,368.86508169025177
163,461.1500181184709,490.08321719840166
164,419.95000688821074,419.63427029281854
165,475.3499867199361,456.410354719162
166,454.64999906659125,425.18101893469685
167,307.25000514596695,333.73201047688724
168,595.1500092726945,582.9106159687042
169,485.6500169098377,479.9494890658557
170,496.1500111761689,478.5890250563621
171,517.1499997088313,534.3724306194484
172,437.14998428285116,421.95370023831725
173,533.1500100959837,506.1381748075783
174,510.15001570120455,517.0277284486591
175,506.65000544250006,518.604804995209
176,543.1500028967857,529.0924589551985
177,521.150011433065,552.7715718063712
178,395.6500086830556,394.2512094023823
179,322.4499949333816,297.04703621171416
180,386.4499999722093,417.44485168129205
181,315.6499932570755,325.93311941787596
182,288.95000627227125,313.7143176309764
183,443.1500018692016,453.1895712737738
184,483.15000958219173,475.89653815761204
185,443.1500018692016,462.3510804194212
186,690.1499956449866,766.9789174389839
187,467.6500006605684,451.3844911381602
188,460.1500151874125,437.04461705178016
189,432.1500061373412,421.7093767766654
190,445.6500091968477,437.1118680703639
191,535.1500159581005,532.1733369156718
192,585.1500164718926,597.2371274748444
193,486.1499818655848,460.2766311116516
194,329.94999866142865,339.3461196666956
195,444.15000480026004,449.8891965034604
196,378.64999536484476,399.82366093084215
197,396.650011614114,406.48100063368673
198,532.1500071649252,541.5928606912494
199,349.4500010523945,326.00427698314184
200,491.64999798640605,521.3424544943869
201,560.450017094314,550.4288851296901
202,499.149983459562,499.17272905379525
203,436.649982817322,460.589556453824
204,392.14999842435117,395.4799826279282
205,340.7499938070773,335.57243208155035
206,527.1499925096333,491.5008920364081
207,414.14998988807196,378.3752409998327
208,354.14999657347795,370.0749428486823
209,558.1500103528798,546.0683393074571
210,336.650000044629,336.8839182183891
211,463.6499889363348,440.060325051248
212,467.14999919503924,463.01563147276636
213,499.149983459562,485.7063880133628
214,439.149990144968,407.77257068440315
215,606.1500050045549,562.4219104242325
216,359.64999443940815,353.92531537458296
217,342.249998203665,346.5024020513892
218,441.649997472614,410.6940834461152
219,444.15000480026004,436.359364951998
220,388.75000671364364,405.5839552880823
221,410.65001613914967,414.9715330043434
222,691.149998576045,678.1040311664342
223,510.15001570120455,507.45471754923454
224,447.65001505896447,438.23465339854357
225,585.1500164718926,560.5704993751644
226,420.6500089399516,432.9723524688184
227,552.6499942320585,560.2217944465577
228,614.6499934087693,567.8121051205694
229,484.1500125132501,469.23532841786744
230,632.1500081925094,638.8876329061388
231,383.2500088477134,403.34302137404677
232,478.6499963924289,500.1065397499501
233,505.65000251144164,502.0052309668064
234,528.649996906221,535.5047815105319
235,568.1500031536817,580.8151005166769
236,553.649997163117,552.9045039229095
237,508.6500113046169,504.2642372229695
238,500.1499863906204,474.65221176490184
239,474.14998320266596,471.95589133903377
240,553.1499956975877,572.6117175820469
241,518.1500026398896,523.8092379203438
242,507.6500083735585,501.82582189768544
243,409.150011742562,416.4153123365342
244,553.1499956975877,541.692787964791
245,514.1499909156561,531.729341455847
246,536.5499835518002,557.5306218999624
247,469.35000564336775,474.8795946876705
248,508.1500098390877,515.4577713096141
249,483.45001046150924,478.1699657776952
250,521.6500128985941,512.6538930657505
251,356.15000243559473,353.53568298026914
252,320.75000820547336,338.6086403236538
253,514.1499909156561,514.588801986426
254,394.150004286468,385.19097839221354
255,524.149983716458,498.23074016645546
256,327.54999162688847,345.6760031341016
257,618.650005133003,612.853237503469
258,613.1499890121818,584.4168270282447
259,494.65000677958125,492.7374418455362
