,ECC Outliers removed Actual Boiling Point,ECC Outliers removed Predicted Boiling Point
0,555.6500030252338,551.287668223679
1,416.1499957501888,410.67677780941125
2,389.150007886067,388.45843959398564
3,442.95000128298994,445.61291525825857
4,518.1500026398896,507.226859999299
5,443.1500018692016,451.62052687928076
6,447.15001359343523,415.94857128247617
7,375.6500048265606,367.0972050225734
8,328.74999514415856,332.517037948966
9,479.14999785795806,481.3051337841153
10,459.15001225635405,443.323861451447
11,549.149983973354,555.365737861991
12,538.1499882414937,548.916613446325
13,425.6499870854616,420.07596563637253
14,550.1499869044125,532.1116353839636
15,537.1499853104353,502.7267007704079
16,428.1499944131076,443.4669067776203
17,513.6499894501268,487.6661966054141
18,579.1499988855421,566.3565696385502
19,625.1499876751005,606.6451871788502
20,484.1500125132501,470.01382650107143
21,274.6500008679181,290.9962335184961
22,564.1499914294482,547.3823628741502
23,554.1499986286461,550.552470742017
24,400.14998536303636,396.82142504096026
25,422.2500136296451,426.13669899031515
26,527.6499939751625,531.5719477853179
27,551.1499898354708,539.8446993058919
28,547.6500160865486,528.8263391536474
29,388.3500055412203,411.90613519147036
30,357.15000536665315,349.42599587067957
31,588.1499887552857,551.488800613135
32,399.6499838975071,367.2737298189103
33,544.1500058278441,525.3012101648748
34,481.1500037200749,488.1564499591291
35,391.64999695882193,383.84920739114284
36,432.7500078959763,456.8481800258159
37,426.14998855099077,442.3597111263871
38,505.15000104591246,505.59107572317123
39,707.1499724534153,624.38087260589
40,477.1499919958412,445.2191937683522
41,606.1500050045549,589.4101603934168
42,449.14998294577,460.769987796843
43,406.1500029493868,407.189363425523
44,520.1500085020065,524.5150085176527
45,614.6499934087693,580.232952041477
46,421.75001216411584,432.4328474190831
47,429.14999734416597,443.073696424663
48,459.15001225635405,457.6448964902758
49,479.14999785795806,457.4832311752439
50,309.6499939256161,323.89779034160074
51,340.1499920484423,344.5577815286815
52,500.1499863906204,484.33110103234645
53,410.65001613914967,418.39516479894513
54,504.1499981148541,480.1912203329801
55,419.15000454336405,422.16498234719035
56,458.1500093252957,467.9019911764562
57,389.64999109670515,397.1273405049741
58,545.1500087589025,554.2645298150181
59,333.1500080408156,379.03451638966794
60,606.1500050045549,614.2073853206634
61,484.1500125132501,463.13768367424603
62,526.1499895785748,522.4705702507496
63,480.6500022545456,496.02372383996845
64,479.64999932348724,482.0551542373001
65,618.1500036674738,572.3508916988969
66,388.6500064205378,363.38441575393074
67,511.1499821224808,498.45355936646456
68,360.1499959049373,352.4106705553829
69,327.6499919199943,330.697353900522
70,580.1500018166005,562.9906232996284
71,479.14999785795806,490.2847877052426
72,477.1499919958412,470.22032582849266
73,491.14999652087687,493.8044767364859
74,443.1500018692016,452.36496133580806
75,248.54999738685783,285.45507087327536
76,538.1499882414937,535.5396483524144
77,638.1499892690778,607.1659627103805
78,414.14998988807196,413.2362595720589
79,483.15000958219173,516.3999062360823
80,478.14999492689964,487.36166851311924
81,537.1499853104353,531.2780075298249
82,533.1500100959837,529.3826021933555
83,498.6499819940328,490.76014506787055
84,536.1499823793769,548.9077415692806
85,421.1500104054808,420.5272995623946
86,508.1500098390877,555.203597919792
87,436.84998340353366,447.93449928089973
88,510.65001716673373,532.3813696539402
89,489.1499906587601,459.7790392917395
90,401.1499882940948,404.36858115255825
91,474.14998320266596,467.3167028599977
92,440.64999454155566,430.74306517526503
93,391.14999549329275,395.0626758188009
94,371.1499916367978,478.40519830361006
95,493.9500047278404,486.7886839932203
96,578.1499959544836,566.8798278352618
97,480.1500007890164,479.99202296197416
98,360.1499959049373,364.10139485433695
99,568.1500031536817,544.2242667245865
100,466.1499962639809,466.27734238386154
101,481.1500037200749,485.4489940497279
102,497.15001410722726,493.4263084137439
103,450.54998704925174,434.95779092788695
104,499.149983459562,482.65223521336907
105,540.6499955691397,529.5817265447974
106,505.15000104591246,509.61503786444655
107,484.1500125132501,483.62310333833096
108,436.15001786157484,437.91552139341826
109,577.1499930234253,529.5101673719287
110,393.1500013554096,415.972083582133
111,412.249984319061,418.1251019409299
112,411.15001760467885,397.7029172194004
113,536.9499847242237,503.6572255861759
114,410.5500158460438,403.8171008943021
115,410.7500164322555,416.1821973779797
116,595.1500092726945,578.1779259377718
117,517.1499997088313,503.7462364348769
118,411.15001760467885,441.4040675805509
119,520.1500085020065,484.19539417237036
120,465.1499933329224,465.88121124833816
121,433.15000906839964,421.8541745723784
122,380.14999976143235,390.23852878376834
123,460.6500166529417,428.4564575238525
124,473.6500182469189,456.181839993149
125,414.34999047428363,421.4986058047413
126,543.1500028967857,520.1951345926523
127,354.14999657347795,358.1276460561901
128,466.64999772951006,431.14328540638087
129,429.14999734416597,425.06437018096443
130,463.1499874708056,470.9048112228512
131,533.1500100959837,546.4841857253015
132,473.1500167813897,470.91518000096085
133,487.64998626217243,481.784215144515
134,489.1499906587601,427.4682107426226
135,556.150004490763,532.3550095912814
136,372.6499960333854,373.96732373535633
137,635.1500169856846,613.9501739059388
138,451.14998880788676,468.9500044709444
139,404.14999708727,406.10582611307495
140,456.15000346317885,429.18190689370033
141,713.9499923846125,658.4352988176048
142,657.1500084494054,619.7872483348847
143,603.6499976769089,541.5090342316031
144,402.1499912251532,424.7416602171957
145,431.05000291317697,455.78775340542194
146,443.1500018692016,453.6062574166059
147,396.650011614114,379.7351756174862
148,471.15001091927286,415.2482771524787
149,557.1500074218213,562.2909863457083
150,539.1499911725521,497.06775756821037
151,452.14999173894523,420.23803255900737
152,565.1499943605065,602.5206405879558
153,292.1499973967671,304.58820471905165
154,585.1500164718926,591.7504009146988
155,486.1499818655848,493.85683176398277
156,343.65000230714674,362.3168332162499
157,458.1500093252957,442.8260505728423
158,452.14999173894523,448.22234240278596
159,365.14999230533834,372.83840476378793
160,605.6500035390258,555.7211605904996
161,456.15000346317885,464.4198342011869
162,469.1500050571561,481.37143554836507
163,460.1500151874125,474.0596214920282
164,387.15000202395015,390.82746807843444
165,404.2499973803758,404.3280552944541
166,479.64999932348724,449.0474634777009
167,604.1499991424382,589.5392224730551
168,456.8500055149197,462.0953659057617
169,358.6499915083498,325.16199631065126
170,634.1500140546261,618.4336116546392
171,436.15001786157484,415.6627361986041
172,466.1499962639809,462.7198292183876
173,385.14999616183337,397.9137977206707
174,606.1500050045549,541.7066981917619
175,492.1499994519353,500.32738742172717
176,423.15001626759766,435.375937462002
177,601.1499903492629,596.8777981996536
178,416.4499966295063,418.146825261265
179,364.3500082153827,391.07109785422676
180,369.65000549510114,366.71153393961487
181,513.1499879845976,496.4393146893382
182,438.1499872139096,438.5546981482208
183,487.14998479664325,481.66866168424485
184,459.15001225635405,478.6311938546598
185,454.14999760106207,467.72137728452674
186,529.1499983717501,519.6008283600211
187,516.1499967777729,536.6097135552764
188,417.1499986812472,417.9799755571782
189,349.85000222481784,352.51156533814964
190,405.6500014838576,536.5767452220618
191,427.1499914820492,450.0465901739895
192,482.65000811666243,466.28019014686345
193,493.15000238299365,512.4116871714591
194,384.6499946963042,373.1946854721755
195,511.64998358801,498.4109889605641
196,531.1500042338669,509.88455307573076
197,558.1500103528798,549.3388490760326
198,463.0499871776998,470.4076210105419
199,468.1500021260976,481.3051337841153
200,479.14999785795806,467.4919133041799
201,522.1500143641233,509.75165746897454
202,302.3500090386718,309.12595076859
203,456.65000492870803,451.047104241997
204,553.1499956975877,523.1980276586115
205,429.14999734416597,445.1243778643012
206,553.1499956975877,544.6944031883776
207,479.14999785795806,489.7383092871308
208,444.15000480026004,465.09818595215677
209,446.15001066237687,450.21793058127156
210,615.6499963398277,589.5582440695166
211,429.24999763727186,420.1582586851716
212,366.14999523639676,406.337736248821
213,363.65000616364176,374.9956582573056
214,419.65000600889323,440.0820483715832
215,513.2499882777034,513.1078556960821
216,534.1500130270421,527.9603271228075
217,411.15001760467885,402.0302756497264
218,432.1500061373412,426.0296157994866
219,486.649983331114,465.95905010372394
220,461.1500181184709,458.61886794671415
221,394.150004286468,401.36426420509815
222,585.1500164718926,588.4188833002746
223,461.4499824880063,459.5266836780309
224,478.14999492689964,463.6273163616657
225,368.85000315025445,382.3335220431536
226,364.3500082153827,363.20865766301745
227,483.15000958219173,461.0765969467163
228,514.1499909156561,522.9924045659602
229,317.14999765366315,331.61993783868843
230,569.1500060847401,527.8918347716331
231,380.0499994683265,377.4927448023855
232,390.1499925622344,383.54893268845973
233,504.1499981148541,527.3680654379725
234,465.1499933329224,466.36821523144835
235,463.1499874708056,460.0544325779378
236,415.1499928191304,422.1084652045369
237,531.7500059925019,529.2883339360355
238,436.7499831104278,422.82329022780056
239,438.6499886794388,442.2743512558937
240,402.6499926906824,352.6502112355828
241,569.1500060847401,560.0137617082894
242,488.6499891932308,446.9630469994247
243,480.6500022545456,456.15471322506664
244,481.1500037200749,497.4115701860189
245,435.1500149305164,454.33784042984246
246,475.0499858406186,474.7332269713282
247,457.1500063942372,434.5394253350794
248,320.35000703305,345.1648479301482
249,470.15000798821444,477.25671008884905
250,496.1500111761689,476.4746340470016
251,468.6500035916269,452.8792381261289
252,506.65000544250006,612.0857653744519
253,583.1500106097758,577.4307897573709
254,431.65000467181204,450.0192808569968
255,497.15001410722726,506.0466447839141
256,269.4500038813054,322.66501929491756
257,443.1500018692016,462.94308653578156
258,511.1499821224808,515.5350260084867
259,476.64999053031204,495.8466148871183
260,409.150011742562,410.06352299988265
261,430.5500014476478,433.4477463412284
262,290.1499915346503,289.44854734651744
263,690.1499956449866,600.0120534615219
264,352.64999217689035,368.92720308445394
265,429.14999734416597,441.8596731510758
266,467.2499994881451,476.7458287082612
267,427.1499914820492,438.40650494277475
268,599.6499859526754,529.5116642729937
269,561.1499826362729,549.003689276576
270,378.0499936062097,367.5918395501375
271,416.649997215718,407.8818079523742
272,438.6499886794388,443.86873343914743
273,399.2499827250838,417.6218145950138
274,473.1500167813897,469.33087451755995
275,468.1500021260976,471.0087180626392
276,336.650000044629,334.1484045414626
277,579.1499988855421,577.1123514381051
278,514.1499909156561,512.2489265629649
279,403.6499956217408,385.9876583468914
280,606.1500050045549,583.9228131669759
281,204.34999561831353,304.29044919133185
282,448.15001652449365,419.9546071207523
283,423.65001773312684,429.04919383585445
284,495.1500082451104,501.00530105531215
285,658.1500113804639,635.7665576756001
286,473.1500167813897,469.65062718898054
287,428.4499952924251,425.67879330351946
288,414.34999047428363,400.61815029859537
289,527.1499925096333,485.48674516439434
290,553.1499956975877,510.0516218385101
291,285.7499968928844,319.1989631335437
292,571.1500119468569,567.1864369851351
293,444.15000480026004,418.5248110350966
294,492.1499994519353,502.24842262521383
295,326.4500066576153,343.4580156181007
296,435.65001639604566,587.8400937250257
297,379.0499965372681,359.2160391696542
298,443.1500018692016,445.7421598868072
299,568.1500031536817,563.0560123193264
300,603.0499959182739,601.2682090236246
301,560.1500162149965,528.4740197566151
302,437.4499851621687,436.49945298582315
303,304.74999781832094,333.87480023458596
304,472.1500138503312,466.81239324018355
305,531.6500056993962,534.665713698864
306,444.15000480026004,470.4499723577499
307,390.54999373465773,388.1897823625803
308,341.1499949795007,344.58792035378514
309,378.1499938993155,399.4393589647114
310,483.15000958219173,520.3678258618712
311,520.6500099675358,524.5715256603062
312,419.15000454336405,427.50238389864563
313,406.1500029493868,441.8654051868617
314,458.1500093252957,433.7810441417992
315,483.75001134082675,476.57693445637824
316,450.6499873423576,414.39486099645495
317,489.1499906587601,454.4717948202789
318,432.85000818908213,436.49945298582315
319,374.5500016023963,354.47332720354194
320,407.1500058804452,426.3080028878152
321,320.75000820547336,328.3917976722121
322,449.14998294577,445.4417573998868
323,535.1500159581005,539.4267353206873
324,409.5500129149854,382.7490581278503
325,448.6500179900229,392.11794283568855
326,373.2499977920204,369.44595232307904
327,490.14999358981845,492.46259620606895
328,516.1499967777729,492.20863416194913
329,432.1500061373412,437.40124460309744
330,584.1500135408342,677.4266286697983
331,362.15000176705416,375.6870622553676
332,491.14999652087687,485.2501252667605
333,522.1500143641233,519.2774612201749
334,585.1500164718926,537.7002972556651
335,552.1499927665293,541.4506550900637
336,619.1500065985322,604.6832975292206
337,372.9999970592558,362.72190924838185
338,513.1499879845976,517.1045085203648
339,603.6499976769089,598.3823663190008
340,412.1499840259552,411.62756555423135
341,455.15000053212043,450.69489437431093
342,508.1500098390877,504.3944311058521
343,528.1499954406917,509.7154397651553
344,382.1500056235492,414.66547150120135
345,513.1499879845976,522.5919652761519
346,537.1499853104353,529.3245516398549
347,398.1500160107016,385.33426103197036
348,491.8499985726178,491.81093310579655
349,575.1499871613084,548.840563570261
350,536.1499823793769,539.9403914447129
351,626.1499906061589,588.467185741961
352,483.15000958219173,528.8263391536474
353,471.45001179859037,474.5237338417768
354,436.15001786157484,443.08735108315943
355,429.54999851658937,437.01172173812984
356,434.2500122925639,420.1582586851716
357,407.1500058804452,425.0021940220892
358,472.1500138503312,484.70426751494404
359,498.1500170382857,478.59231093674896
360,481.6500051856041,478.1760629113018
361,410.15001467362043,434.29349544301624
362,469.05000476405024,476.64155677065247
363,693.1500044381619,633.8365775755047
364,462.1499845397472,469.26413463592525
365,491.14999652087687,502.005523045063
366,531.1500042338669,523.6743707853556
367,423.65001773312684,459.9660423955321
368,388.3500055412203,399.8989441014826
369,444.15000480026004,467.6191498947144
370,348.14999724201857,349.2016067500412
371,372.34999515406787,367.2863804583996
372,498.1500170382857,485.9068267169595
373,424.149982688874,420.1582586851716
374,318.0500002916157,328.97463983327145
375,584.1500135408342,575.5532377043367
376,395.55000838994977,410.2127019694447
377,303.8499951803684,320.92934425503006
378,464.8499924536049,468.8486533159017
379,488.6499891932308,503.4478784957528
380,491.64999798640605,502.005523045063
381,436.15001786157484,439.17295479789374
382,272.14999354027213,317.9985945184528
383,331.45000305801625,349.68558042123914
384,473.1500167813897,512.0205213662981
385,307.1500048528611,318.5583259874582
386,517.6500011743605,514.4434565439819
387,384.74999498941,382.4793238578736
388,487.64998626217243,481.66866168424485
389,436.15001786157484,399.5174533885717
390,360.7499976635724,369.38910659238695
391,433.95001141324633,436.49945298582315
392,549.149983973354,532.3908621972798
393,380.14999976143235,406.3875721013546
394,561.1499826362729,496.7039740996062
395,335.14999564804134,318.70965903416277
396,523.1500172951818,499.79233656540515
397,476.64999053031204,470.4333238971233
398,556.4500053700805,543.4507339717447
399,384.14999323077495,404.65390509948134
400,455.15000053212043,461.6267993625998
401,553.1499956975877,546.5078075543046
402,478.3499955131113,468.64821461230514
403,540.1499941036104,584.5496131056547
404,540.6499955691397,542.19841193676
405,698.1500190934539,630.2886299729347
406,391.14999549329275,382.9007015077024
407,533.1500100959837,503.4478784957528
408,405.6500014838576,399.4393589647114
409,538.1499882414937,532.2101387760043
410,511.1499821224808,512.0373158660531
411,605.0500017803906,575.238231304586
412,406.650004414916,407.16325893133876
413,518.5500038123131,517.9079792945087
414,437.14998428285116,451.99022493258116
415,419.15000454336405,409.0804240979254
416,447.15001359343523,463.8549913626909
417,579.1499988855421,532.3550095912814
418,341.34999556571245,365.1186669123172
419,595.1500092726945,591.7503644049167
420,385.14999616183337,367.5918395501375
421,556.150004490763,515.6398821026086
422,568.1500031536817,562.0928477583825
423,539.1499911725521,527.3701099857687
424,323.1499969851225,332.755191257447
425,281.15000166490665,310.4886783845722
426,485.1500154443085,482.1227338439226
427,528.649996906221,545.0475258006155
428,359.64999443940815,365.0742345075309
429,489.64999212428927,487.4140965601802
430,432.1500061373412,459.9660423955321
431,454.14999760106207,420.9257308141887
432,495.1500082451104,506.3917352440953
433,550.1499869044125,555.0379530385136
434,490.14999358981845,498.6468786625564
435,492.65000091746447,509.61503786444655
436,472.1500138503312,455.1230928227305
437,416.1499957501888,434.91993028387424
438,524.149983716458,544.226931938678
439,402.6499926906824,393.59929073363537
440,439.64999161049724,460.1842978727817
441,347.14999431096015,359.71072846189134
442,446.7500124210119,453.58351182237266
443,452.14999173894523,450.6599180030822
444,413.14998695701354,421.588894495815
445,403.6499956217408,403.94875516846776
446,404.14999708727,388.08209676034744
447,428.6499958786368,441.91184562966225
448,450.9499882216751,434.6912330089509
449,341.1499949795007,341.91688295200464
450,395.6500086830556,371.328141118437
451,521.150011433065,471.618723501563
452,540.1499941036104,529.7271084970236
453,423.15001626759766,444.1777887444198
454,487.14998479664325,499.74870737582444
455,585.6500179374218,557.918720883429
456,446.5500118348002,408.94121229887
457,477.1499919958412,478.2974579367042
458,416.1499957501888,427.1013604523241
459,421.1500104054808,404.20074568435547
460,448.6500179900229,440.3915783040225
461,456.95000580802554,462.1958408260345
462,478.14999492689964,484.2857923927903
463,433.15000906839964,453.1957779367268
464,601.1499903492629,635.005401738882
465,320.45000732615586,354.4616440732777
466,390.7499943208694,372.8610043188929
467,452.6499932044744,429.28482796937226
468,607.1500079356133,607.7221892403065
469,445.15000773131845,443.9672368311882
470,429.14999734416597,446.27732027247544
471,300.0500022972375,304.84623760387296
472,612.1499860811234,599.6266196921467
473,398.1500160107016,407.60042706191535
474,442.1499989381432,441.0036648005247
475,394.150004286468,405.91874998971815
476,408.1500088115036,429.8537964132428
477,365.0499920122325,370.8439118787646
478,411.15001760467885,383.53876471415157
479,339.65000883780414,351.8613078644871
480,411.15001760467885,420.24182957634326
481,461.1500181184709,431.9087129876017
482,497.15001410722726,504.0119181190431
483,530.1500013028085,509.6827270004153
484,457.4500072735547,462.0953659057617
485,488.6499891932308,489.6911021389067
486,441.44999688640235,444.26687261268495
487,458.1500093252957,467.7144404259323
488,499.149983459562,527.5220636987686
489,469.5500062295794,455.1665029536187
490,378.64999536484476,378.84733073696486
491,417.6500001467764,443.2299582919478
492,542.6500014312564,564.4416315686702
493,570.1500090157986,572.9711198768019
494,532.950009509772,524.5714891505241
495,473.6500182469189,453.9801906046271
496,447.15001359343523,440.5070952545106
497,448.15001652449365,428.87763436987996
498,394.150004286468,384.9508900652826
499,548.1500175520778,549.2667787662149
500,441.14999600708484,433.0237582419812
501,382.1500056235492,527.5210414248705
502,424.149982688874,423.4848109692335
503,609.1500137977301,601.5298381219804
504,399.6499838975071,402.9931846421957
505,406.75000470802183,393.72240171879525
506,469.1500050571561,476.38332308202973
507,470.49999075919385,495.30283819288013
508,545.1500087589025,535.367723788619
509,473.4500176607072,475.22976000756023
510,555.1500015597045,542.9501483497023
511,663.1499895259738,591.1138528642058
512,469.1500050571561,492.04273371219637
513,441.649997472614,448.0815241733193
514,566.1499972915649,550.6022700847685
515,422.15001333653925,395.11459272891284
516,472.6500153158605,390.4535896550864
517,439.24999043807384,392.3819815796613
518,455.15000053212043,416.86456520497796
519,639.1499922001362,604.0239308649301
520,438.549988386333,436.83209361031646
521,419.2500048364699,442.320207542181
522,643.1500039243698,603.4047979804873
523,385.14999616183337,410.8220502322912
524,617.1500007364153,607.3156528168917
525,372.1499945678562,376.6665649437904
526,484.2500128063559,494.3065592595934
527,431.1500032062828,421.63329039081924
528,608.1500108666718,582.31871938169
529,575.6499886268377,599.6243560856581
530,492.65000091746447,492.008889144212
531,650.1499879319965,436.7551674994826
532,364.150007629171,370.89163016393775
533,452.3499923251569,466.65602184355254
534,326.85000783003863,343.8996014323085
535,674.1499852578343,612.9127119384706
536,425.1499856199324,441.8596731510758
537,443.6500033347308,425.8836862005293
538,579.1499988855421,575.625600092411
539,383.7499920583516,398.55176965266463
540,356.15000243559473,352.69413250342006
541,610.6500181943178,535.9293902760744
542,589.1499916863442,581.8709634143113
543,721.1500134882331,633.3826149451733
544,567.1500002226234,556.7375564137101
545,472.1500138503312,475.1272040297091
546,554.1499986286461,552.8573697942495
547,486.649983331114,494.3177312529087
548,511.1499821224808,475.0354549473524
549,282.0500043028593,311.54350075341756
550,488.1499877277016,481.1753049990535
551,510.8500177529454,510.9545452590286
552,335.6499971135705,357.6381411530077
553,368.55000227093694,372.4326533006876
554,462.4499854190648,465.2479855880141
555,501.14998932167885,505.7840664312243
556,471.15001091927286,476.250646533966
557,391.64999695882193,409.38268858373164
558,539.1499911725521,517.1045085203648
559,413.6499884225428,410.5774346923828
560,445.15000773131845,420.1582586851716
561,593.1500034105778,589.3507954877614
562,514.1499909156561,511.61102765053505
563,434.15001199945806,436.8786800922453
564,539.1499911725521,559.1533356741071
565,487.14998479664325,481.04113154992456
566,489.1499906587601,492.62495520696046
567,433.15000906839964,441.8596731510758
568,644.1500068554282,607.7388011911512
569,523.1500172951818,513.4170205307007
570,512.1499850535392,517.6043274369836
571,541.1499970346689,508.77859875708816
572,406.1500029493868,372.0668617940694
573,534.1500130270421,524.5150450274348
574,415.1499928191304,397.0563289788365
575,498.94998287335034,502.15375276029107
576,313.2500044774264,335.38398684136564
577,270.1500059330463,283.853660556972
578,264.050006308481,279.89401039682326
579,378.0499936062097,379.3768321064114
580,501.14998932167885,484.7663706542552
581,448.0500162313878,494.0093696334958
582,417.24999897435305,419.47223987996574
583,508.1500098390877,507.5760395550727
584,538.1499882414937,526.1506832644343
585,612.1499860811234,617.497245273739
586,574.1499842302501,546.9310289481282
587,589.4499925656617,586.1241339674592
588,421.1500104054808,387.96364077240224
589,580.1500018166005,581.4236455643177
590,379.4499977096915,395.49633901029824
591,329.94999866142865,343.0407088089734
592,556.150004490763,525.6415543533861
593,470.450008867532,423.4016781954467
594,351.35000662140544,340.1596671406924
595,460.0500148943067,462.4931034716963
596,558.1500103528798,546.2181754530966
597,253.24999290794128,252.708078212589
598,439.149990144968,457.8370474733412
599,362.65000323258334,392.6829682230949
600,588.1499887552857,575.4659793251752
601,470.15000798821444,506.69859996244304
602,499.149983459562,521.780352820605
603,413.7499887156486,430.2980474415421
604,545.1500087589025,543.4683681964874
605,499.149983459562,498.2995976154506
606,493.15000238299365,520.4670229397714
607,531.1500042338669,538.4632421717047
608,552.1499927665293,545.7907919441163
609,441.649997472614,407.73018282741305
610,588.1499887552857,555.9065572638809
611,543.1500028967857,531.7969210624694
612,573.1500178089738,570.746359796226
613,579.1499988855421,533.2926173047721
614,583.1500106097758,541.1902308145166
615,588.1499887552857,586.2020458424091
616,293.75000208646054,319.29491084083907
617,386.65000055842097,333.8130256833136
618,569.1500060847401,562.1926289927959
619,491.14999652087687,481.82182022005316
620,515.1499938467144,526.5175335547328
621,348.64999870754775,374.0413655734062
622,614.1499919432401,613.698146880269
623,503.1499951837956,502.4555426189303
624,536.1499823793769,523.5944508723915
625,417.6500001467764,395.5550832496583
626,483.15000958219173,492.2543078993261
627,468.6500035916269,468.6140049465001
628,392.4499993036687,402.5456477335095
629,527.1499925096333,507.53215479701754
630,496.1500111761689,506.40458668738603
631,493.15000238299365,497.4115701860189
632,483.15000958219173,484.4039380475878
633,362.65000323258334,361.7788615773618
634,461.54998278111213,463.1745950639248
635,506.1500039769709,516.3998697263002
636,430.1500002752244,402.0059236250817
637,438.1499872139096,437.96451752096414
638,486.1499818655848,402.6735780099034
639,549.149983973354,531.6316047692299
640,563.1499884983897,492.0061144007742
641,460.1500151874125,470.9048112228512
642,412.1499840259552,399.80818078324194
643,424.149982688874,439.15418876990674
644,310.64999685667453,302.5281767752021
645,556.150004490763,565.8411975547671
646,442.4499998174607,437.6984342291951
647,483.15000958219173,474.2230392765998
648,529.1499983717501,524.6800692424177
649,466.64999772951006,479.57245254635814
650,542.1499999657273,472.50788273423905
651,377.64999243378634,403.39899086996905
652,475.14998613372444,490.7812477219104
653,403.14999415621156,395.2222965860367
654,317.14999765366315,340.3240524344891
655,456.15000346317885,452.0438578024506
656,473.1500167813897,459.9275975950062
657,524.6499851819873,527.4771201570331
658,454.14999760106207,436.59956280827515
659,293.9500026726722,299.5552399854362
660,582.1500076787173,606.68651625216
661,501.14998932167885,494.67001414015886
662,330.5500004200637,332.7867174542695
663,505.65000251144164,490.3803703147173
664,437.14998428285116,432.86293265193694
665,447.65001505896447,457.9246344405412
666,498.1500170382857,504.90845232769846
667,498.1500170382857,626.5866841095685
668,414.14998988807196,421.8025497405231
669,483.15000958219173,479.9744617567956
670,442.1499989381432,442.741201839298
671,443.1500018692016,463.11026482790703
672,486.649983331114,492.85942102745173
673,415.1499928191304,440.39274661704894
674,375.15000336103134,401.812166211605
675,548.1500175520778,536.680761591196
676,367.4499990467727,372.3956506365537
677,516.6499982433021,528.7820162782073
678,435.1500149305164,430.2980474415421
679,501.14998932167885,512.2203759133815
680,498.6499819940328,484.56713677346704
681,446.15001066237687,443.9672368311882
682,381.1500026924908,371.41485185086725
683,465.4499942122399,466.1554727312922
684,529.249998664856,534.0793665987253
685,451.64999027341605,451.7709471814334
686,353.14999364241953,358.1500630623847
687,481.1500037200749,490.76014506787055
688,458.1500093252957,457.9488404260576
689,466.1499962639809,470.9048112228512
690,589.1499916863442,590.1780341300368
691,377.14999096825716,365.43491464465853
692,506.65000544250006,500.9453519931435
693,412.64998549148436,407.85829565271735
694,422.15001333653925,441.1369985246658
695,358.84999209456146,370.74993569970127
696,471.15001091927286,465.1862840563058
697,603.6499976769089,571.557096017003
698,558.1500103528798,563.6525821584462
699,437.14998428285116,457.4765498851239
700,420.1500074744224,436.56279745772474
701,478.14999492689964,481.66866168424485
702,555.6500030252338,585.2429338672757
703,559.1500132839382,530.2399979156255
704,444.15000480026004,448.13205371171233
705,420.1500074744224,420.1582586851716
706,412.1499840259552,425.70949803024524
707,429.14999734416597,446.2478203685581
708,429.8499993959069,429.0020231974125
709,495.1500082451104,492.0713938911259
710,453.1499946700036,589.9639407679439
711,448.15001652449365,428.74663727179166
712,693.1500044381619,652.2098698367179
713,458.1500093252957,424.9400543729961
714,497.6500155727565,485.9068267169595
715,305.6500004562735,310.5187259352207
716,445.15000773131845,432.2654865780472
717,534.8500150787829,587.640093138814
718,552.6499942320585,549.1736058023572
719,523.1500172951818,515.0062913444639
720,403.54999532863496,427.5226833374798
721,372.54999574027954,391.07109785422676
722,345.6500081692636,349.35076746471225
723,341.1499949795007,338.5109949114918
724,505.65000251144164,496.47556890293953
725,593.1500034105778,581.8921025781333
726,513.1499879845976,564.5157829360663
727,455.15000053212043,468.9500044709444
728,553.1499956975877,518.3563559281826
729,368.1500010985136,366.61102250956
730,545.1500087589025,552.8309367120265
731,478.44999580621715,478.02166304290296
732,538.1499882414937,520.4386548390984
733,319.9500058606267,327.75462895542375
